structure,iterations,time,nash_dist
complex,0,0,1.58091
complex,100,60,0.285805
complex,200,119,0.197893
complex,300,179,0.173
complex,400,239,0.145472
complex,500,299,0.125734
complex,600,359,0.108662
complex,700,419,0.101661
complex,800,479,0.0945991
complex,900,539,0.0897811
complex,1000,599,0.0779299
complex,1100,659,0.0756627
complex,1200,719,0.0752666
complex,1300,779,0.0700179
complex,1400,840,0.0659099
complex,1500,900,0.0671996
complex,1600,960,0.0609991
complex,1700,1019,0.0598968
complex,1800,1079,0.0625177
complex,1900,1139,0.0563418
complex,2000,1199,0.0592075
complex,2100,1259,0.0551533
complex,2200,1319,0.0523562
complex,2300,1379,0.0532113
complex,2400,1439,0.0514451
complex,2500,1499,0.051403
complex,2600,1559,0.0520482
complex,2700,1619,0.0471527
complex,2800,1679,0.0513442
complex,2900,1739,0.0463024
complex,3000,1798,0.0450511
complex,3100,1858,0.0475057
complex,3200,1918,0.0471524
complex,3300,1978,0.0445285
complex,3400,2038,0.0437221
complex,3500,2098,0.046597
complex,3600,2158,0.0409845
complex,3700,2218,0.0458791
complex,3800,2278,0.045448
complex,3900,2338,0.0429711
complex,4000,2397,0.0411879
complex,4100,2457,0.0419486
complex,4200,2517,0.0410193
complex,4300,2577,0.0384886
complex,4400,2637,0.0406085
complex,4500,2697,0.0433099
complex,4600,2757,0.0414044
complex,4700,2816,0.0448868
complex,4800,2875,0.0462089
complex,4900,2934,0.0416729
complex,5000,2992,0.0384786
complex,5100,3050,0.0381404
complex,5200,3108,0.039418
complex,5300,3167,0.0403488
complex,5400,3227,0.0426005
complex,5500,3287,0.0421691
complex,5600,3347,0.0425406
complex,5700,3407,0.0370076
complex,5800,3467,0.0382659
complex,5900,3527,0.037318
complex,6000,3587,0.0396279
complex,6100,3647,0.0380957
complex,6200,3707,0.0433508
complex,6300,3767,0.0422252
complex,6400,3827,0.0374128
complex,6500,3886,0.0355799
complex,6600,3945,0.035619
complex,6700,4003,0.0362972
complex,6800,4062,0.0374571
complex,6900,4122,0.0392197
complex,7000,4182,0.039911
complex,7100,4242,0.0434307
complex,7200,4302,0.0368381
complex,7300,4362,0.0366714
complex,7400,4422,0.0353176
complex,7500,4481,0.035051
complex,7600,4539,0.0358506
complex,7700,4596,0.0361154
complex,7800,4654,0.0349996
complex,7900,4712,0.0346409
complex,8000,4769,0.0340539
complex,8100,4827,0.035273
complex,8200,4885,0.0340677
complex,8300,4942,0.0344087
complex,8400,4999,0.0359062
complex,8500,5056,0.0354268
complex,8600,5114,0.0376167
complex,8700,5173,0.0348591
complex,8800,5231,0.0343071
complex,8900,5291,0.0347105
complex,9000,5349,0.0345552
complex,9100,5406,0.0331585
complex,9200,5464,0.0327411
complex,9300,5523,0.0329491
complex,9400,5582,0.0342488
complex,9500,5639,0.034505
complex,9600,5698,0.0367583
complex,9700,5757,0.0327126
complex,9800,5817,0.0354484
complex,9900,5877,0.033565
simple,0,0,0.957706
simple,100,19,0.0150321
simple,200,36,0.00823674
simple,300,53,0.00303992
simple,400,70,0.00524748
simple,500,87,0.00367282
simple,600,104,0.00298756
simple,700,120,0.00320879
simple,800,136,0.00276759
simple,900,153,0.00205582
simple,1000,170,0.00326898
simple,1100,187,0.0013802
simple,1200,204,0.00276294
simple,1300,221,0.00227668
simple,1400,238,0.00125045
simple,1500,255,0.00226628
simple,1600,272,0.00236266
simple,1700,288,0.00132491
simple,1800,304,0.00133324
simple,1900,320,0.00215467
simple,2000,337,0.00194728
simple,2100,354,0.00120967
simple,2200,371,0.00111813
simple,2300,388,0.00171775
simple,2400,405,0.0019098
simple,2500,422,0.00138905
simple,2600,439,0.000982262
simple,2700,455,0.00111485
simple,2800,471,0.00157677
simple,2900,487,0.00167321
simple,3000,504,0.00128519
simple,3100,520,0.000935085
simple,3200,536,0.000932835
simple,3300,552,0.0012657
simple,3400,568,0.00151143
simple,3500,584,0.00137322
simple,3600,600,0.00103582
simple,3700,616,0.000826709
simple,3800,633,0.000893004
simple,3900,650,0.00116692
simple,4000,666,0.00135402
simple,4100,682,0.00126261
simple,4200,699,0.000998951
simple,4300,715,0.000794865
simple,4400,731,0.000776269
simple,4500,747,0.000954412
simple,4600,763,0.00116678
simple,4700,779,0.00122211
simple,4800,795,0.00107447
simple,4900,811,0.000859804
simple,5000,827,0.000721954
simple,5100,843,0.000734068
simple,5200,859,0.000887282
simple,5300,875,0.00106006
simple,5400,891,0.00111774
simple,5500,907,0.00101724
simple,5600,923,0.000841491
simple,5700,940,0.000702031
simple,5800,956,0.000665016
simple,5900,972,0.000749849
simple,6000,988,0.000900425
simple,6100,1004,0.00101187
simple,6200,1020,0.00100916
simple,6300,1036,0.00089661
simple,6400,1052,0.000750892
simple,6500,1068,0.000646867
simple,6600,1085,0.000627927
simple,6700,1102,0.000703074
simple,6800,1119,0.000828482
simple,6900,1136,0.000927113
simple,7000,1152,0.000940271
simple,7100,1168,0.000861175
simple,7200,1184,0.000739284
simple,7300,1200,0.000635155
simple,7400,1216,0.000588827
simple,7500,1232,0.000618644
simple,7600,1249,0.000710301
simple,7700,1266,0.000814147
simple,7800,1283,0.000874572
simple,7900,1299,0.000859357
simple,8000,1315,0.000778176
simple,8100,1332,0.000674345
simple,8200,1349,0.000591181
simple,8300,1366,0.000557162
simple,8400,1382,0.000584669
simple,8500,1399,0.000661649
simple,8600,1416,0.000751309
simple,8700,1433,0.000810169
simple,8800,1450,0.000810646
simple,8900,1467,0.000752829
simple,9000,1484,0.000665747
simple,9100,1501,0.000584684
simple,9200,1518,0.000536047
simple,9300,1535,0.000534959
simple,9400,1551,0.000581868
simple,9500,1567,0.000657253
simple,9600,1583,0.000728287
simple,9700,1600,0.000764407
simple,9800,1617,0.000750102
simple,9900,1634,0.000692524
