player,history,card,action,strat
1," ",0,0,0.0665089
1," ",0,1,0.335643
1," ",0,2,0.00701755
1," ",0,3,0.590831
1," ",1,0,0.999997
1," ",1,1,2.81254e-07
1," ",1,2,9.53885e-07
1," ",1,3,1.15542e-06
1," ",2,0,0.999996
1," ",2,1,1.35868e-06
1," ",2,2,1.21653e-06
1," ",2,3,1.22589e-06
1," ",3,0,0.999994
1," ",3,1,5.62509e-07
1," ",3,2,1.81268e-06
1," ",3,3,3.43416e-06
1," ",4,0,0.999989
1," ",4,1,7.73663e-07
1," ",4,2,5.01468e-06
1," ",4,3,4.74941e-06
1," ",5,0,0.999985
1," ",5,1,5.47309e-06
1," ",5,2,6.60116e-06
1," ",5,3,3.17046e-06
1," ",6,0,0.999469
1," ",6,1,4.23562e-06
1," ",6,2,3.93476e-06
1," ",6,3,0.000522484
1," ",7,0,0.999875
1," ",7,1,9.07163e-05
1," ",7,2,1.67524e-05
1," ",7,3,1.74066e-05
1," ",8,0,5.62508e-07
1," ",8,1,0.999961
1," ",8,2,2.65514e-05
1," ",8,3,1.23032e-05
1," ",9,0,8.43495e-07
1," ",9,1,8.43495e-07
1," ",9,2,0.0132167
1," ",9,3,0.986782
2," 1 ",0,0,0.999998
2," 1 ",0,1,8.32713e-07
2," 1 ",0,2,8.32713e-07
2," 1 ",1,0,0.24198
2," 1 ",1,1,0.365113
2," 1 ",1,2,0.392907
2," 1 ",2,0,0.418867
2," 1 ",2,1,0.484153
2," 1 ",2,2,0.0969808
2," 1 ",3,0,0.474465
2," 1 ",3,1,0.490721
2," 1 ",3,2,0.0348141
2," 1 ",4,0,0.48772
2," 1 ",4,1,0.49586
2," 1 ",4,2,0.0164199
2," 1 ",5,0,0.485732
2," 1 ",5,1,0.508525
2," 1 ",5,2,0.00574261
2," 1 ",6,0,0.485289
2," 1 ",6,1,0.512577
2," 1 ",6,2,0.00213416
2," 1 ",7,0,0.439536
2," 1 ",7,1,0.560401
2," 1 ",7,2,6.27748e-05
2," 1 ",8,0,2.60505e-06
2," 1 ",8,1,4.83536e-06
2," 1 ",8,2,0.999993
2," 1 ",9,0,6.53567e-07
2," 1 ",9,1,1.65306e-06
2," 1 ",9,2,0.999998
1," 1 2 ",0,0,1
1," 1 2 ",0,1,4.92118e-07
1," 1 2 ",1,0,0.5
1," 1 2 ",1,1,0.5
1," 1 2 ",2,0,0.221565
1," 1 2 ",2,1,0.778435
1," 1 2 ",3,0,0.5
1," 1 2 ",3,1,0.5
1," 1 2 ",4,0,0.325738
1," 1 2 ",4,1,0.674262
1," 1 2 ",5,0,0.0283788
1," 1 2 ",5,1,0.971621
1," 1 2 ",6,0,0.043211
1," 1 2 ",6,1,0.956789
1," 1 2 ",7,0,0.96917
1," 1 2 ",7,1,0.0308303
1," 1 2 ",8,0,0.55449
1," 1 2 ",8,1,0.44551
1," 1 2 ",9,0,0.5
1," 1 2 ",9,1,0.5
2," 2 ",0,0,0.999873
2," 2 ",0,1,6.37374e-05
2," 2 ",0,2,6.37374e-05
2," 2 ",1,0,0.590004
2," 2 ",1,1,0.409558
2," 2 ",1,2,0.000437147
2," 2 ",2,0,0.614873
2," 2 ",2,1,0.384771
2," 2 ",2,2,0.000356316
2," 2 ",3,0,0.603125
2," 2 ",3,1,0.395468
2," 2 ",3,2,0.00140682
2," 2 ",4,0,0.702289
2," 2 ",4,1,0.297272
2," 2 ",4,2,0.000439245
2," 2 ",5,0,0.547602
2," 2 ",5,1,0.451796
2," 2 ",5,2,0.000601094
2," 2 ",6,0,0.537704
2," 2 ",6,1,0.461419
2," 2 ",6,2,0.000876996
2," 2 ",7,0,0.485047
2," 2 ",7,1,0.51259
2," 2 ",7,2,0.00236312
2," 2 ",8,0,0.428074
2," 2 ",8,1,0.568105
2," 2 ",8,2,0.00382107
2," 2 ",9,0,0.000171479
2," 2 ",9,1,0.000171479
2," 2 ",9,2,0.999657
1," 2 2 ",0,0,0.999941
1," 2 2 ",0,1,5.93018e-05
1," 2 2 ",1,0,0.247475
1," 2 2 ",1,1,0.752525
1," 2 2 ",2,0,0.183929
1," 2 2 ",2,1,0.816071
1," 2 2 ",3,0,0.0832704
1," 2 2 ",3,1,0.91673
1," 2 2 ",4,0,0.102216
1," 2 2 ",4,1,0.897784
1," 2 2 ",5,0,0.202077
1," 2 2 ",5,1,0.797923
1," 2 2 ",6,0,0.0818126
1," 2 2 ",6,1,0.918187
1," 2 2 ",7,0,0.000849092
1," 2 2 ",7,1,0.999151
1," 2 2 ",8,0,0.0347632
1," 2 2 ",8,1,0.965237
1," 2 2 ",9,0,0.0411203
1," 2 2 ",9,1,0.95888
2," 3 ",0,0,0.999998
2," 3 ",0,1,8.43327e-07
2," 3 ",0,2,8.43327e-07
2," 3 ",1,0,0.94646
2," 3 ",1,1,0.053533
2," 3 ",1,2,6.71189e-06
2," 3 ",2,0,0.775935
2," 3 ",2,1,0.224058
2," 3 ",2,2,6.76589e-06
2," 3 ",3,0,0.717143
2," 3 ",3,1,0.282848
2," 3 ",3,2,9.74557e-06
2," 3 ",4,0,0.681333
2," 3 ",4,1,0.318656
2," 3 ",4,2,1.14071e-05
2," 3 ",5,0,0.703679
2," 3 ",5,1,0.296296
2," 3 ",5,2,2.50704e-05
2," 3 ",6,0,0.599111
2," 3 ",6,1,0.400864
2," 3 ",6,2,2.48829e-05
2," 3 ",7,0,0.469459
2," 3 ",7,1,0.530521
2," 3 ",7,2,2.00688e-05
2," 3 ",8,0,0.514485
2," 3 ",8,1,0.485459
2," 3 ",8,2,5.52559e-05
2," 3 ",9,0,1.72141e-07
2," 3 ",9,1,1.72141e-07
2," 3 ",9,2,1
1," 3 2 ",0,0,0.999999
