structure,iterations,time,nash_dist
simple,0,0,0.957706
simple,100,19,0.0150321
simple,200,36,0.00823674
simple,300,53,0.00303992
simple,400,70,0.00524748
simple,500,87,0.00367282
simple,600,104,0.00298756
simple,700,120,0.00320879
simple,800,136,0.00276759
simple,900,153,0.00205582
simple,1000,170,0.00326898
simple,1100,187,0.0013802
simple,1200,204,0.00276294
simple,1300,221,0.00227668
simple,1400,238,0.00125045
simple,1500,255,0.00226628
simple,1600,272,0.00236266
simple,1700,288,0.00132491
simple,1800,304,0.00133324
simple,1900,320,0.00215467
simple,2000,337,0.00194728
simple,2100,354,0.00120967
simple,2200,371,0.00111813
simple,2300,388,0.00171775
simple,2400,405,0.0019098
simple,2500,422,0.00138905
simple,2600,439,0.000982262
simple,2700,455,0.00111485
simple,2800,471,0.00157677
simple,2900,487,0.00167321
simple,3000,504,0.00128519
simple,3100,520,0.000935085
simple,3200,536,0.000932835
simple,3300,552,0.0012657
simple,3400,568,0.00151143
simple,3500,584,0.00137322
simple,3600,600,0.00103582
simple,3700,616,0.000826709
simple,3800,633,0.000893004
simple,3900,650,0.00116692
simple,4000,666,0.00135402
simple,4100,682,0.00126261
simple,4200,699,0.000998951
simple,4300,715,0.000794865
simple,4400,731,0.000776269
simple,4500,747,0.000954412
simple,4600,763,0.00116678
simple,4700,779,0.00122211
simple,4800,795,0.00107447
simple,4900,811,0.000859804
simple,5000,827,0.000721954
simple,5100,843,0.000734068
simple,5200,859,0.000887282
simple,5300,875,0.00106006
simple,5400,891,0.00111774
simple,5500,907,0.00101724
simple,5600,923,0.000841491
simple,5700,940,0.000702031
simple,5800,956,0.000665016
simple,5900,972,0.000749849
simple,6000,988,0.000900425
simple,6100,1004,0.00101187
simple,6200,1020,0.00100916
simple,6300,1036,0.00089661
simple,6400,1052,0.000750892
simple,6500,1068,0.000646867
simple,6600,1085,0.000627927
simple,6700,1102,0.000703074
simple,6800,1119,0.000828482
simple,6900,1136,0.000927113
simple,7000,1152,0.000940271
simple,7100,1168,0.000861175
simple,7200,1184,0.000739284
simple,7300,1200,0.000635155
simple,7400,1216,0.000588827
simple,7500,1232,0.000618644
simple,7600,1249,0.000710301
simple,7700,1266,0.000814147
simple,7800,1283,0.000874572
simple,7900,1299,0.000859357
simple,8000,1315,0.000778176
simple,8100,1332,0.000674345
simple,8200,1349,0.000591181
simple,8300,1366,0.000557162
simple,8400,1382,0.000584669
simple,8500,1399,0.000661649
simple,8600,1416,0.000751309
simple,8700,1433,0.000810169
simple,8800,1450,0.000810646
simple,8900,1467,0.000752829
simple,9000,1484,0.000665747
simple,9100,1501,0.000584684
simple,9200,1518,0.000536047
simple,9300,1535,0.000534959
simple,9400,1551,0.000581868
simple,9500,1567,0.000657253
simple,9600,1583,0.000728287
simple,9700,1600,0.000764407
simple,9800,1617,0.000750102
simple,9900,1634,0.000692524
nash dist: 0.000617109
